model_type,learning_rate,hidden_size,batch_size,pooling_style,accuracy
cnn,0.001,128,64,avg,0.874895746
cnn,0.001,128,64,max,0.886572143
cnn,0.001,128,128,avg,0.871559633
cnn,0.001,128,128,max,0.884904087
cnn,0.0001,128,64,avg,0.849040867
cnn,0.0001,128,64,max,0.885738115
cnn,0.0001,128,128,avg,0.855713094
cnn,0.0001,128,128,max,0.881567973
rnn,0.001,128,64,avg,0.879065888
rnn,0.001,128,64,max,0.881567973
rnn,0.001,128,128,avg,0.880733945
rnn,0.001,128,128,max,0.884904087
rnn,0.0001,128,64,avg,0.862385321
rnn,0.0001,128,64,max,0.872393661
rnn,0.0001,128,128,avg,0.859049208
rnn,0.0001,128,128,max,0.869057548
lstm,0.001,128,64,avg,0.875729775
lstm,0.001,128,64,max,0.889908257
lstm,0.001,128,128,avg,0.89324437
lstm,0.001,128,128,max,0.89324437
lstm,0.0001,128,64,avg,0.889074229
lstm,0.0001,128,64,max,0.886572143
lstm,0.0001,128,128,avg,0.885738115
lstm,0.0001,128,128,max,0.869057548
