model_type,learning_rate,hidden_size,batch_size,pooling_style,optimizer,准确率
fast_text,0.001,128,64,avg,adam,0.9072328355718695
fast_text,0.001,128,64,avg,sgd,0.6668891298907149
fast_text,0.001,128,64,max,adam,0.9058146325185618
fast_text,0.001,128,64,max,sgd,0.7546508717777592
fast_text,0.001,128,128,avg,adam,0.899474430633186
fast_text,0.001,128,128,avg,sgd,0.6663885876366064
fast_text,0.001,128,128,max,adam,0.8922999916576291
fast_text,0.001,128,128,max,sgd,0.7140235254859431
fast_text,0.001,256,64,avg,adam,0.9094852757153583
fast_text,0.001,256,64,avg,sgd,0.6748978059564529
fast_text,0.001,256,64,max,adam,0.9008092099774756
fast_text,0.001,256,64,max,sgd,0.8009510302828063
fast_text,0.001,256,128,avg,adam,0.9059814799365979
fast_text,0.001,256,128,avg,sgd,0.6673062484358054
fast_text,0.001,256,128,max,adam,0.9066488696087428
fast_text,0.001,256,128,max,sgd,0.7650788354050221
fast_text,0.0001,128,64,avg,adam,0.8079586218403271
fast_text,0.0001,128,64,avg,sgd,0.675815466755652
fast_text,0.0001,128,64,max,adam,0.7614916159172437
fast_text,0.0001,128,64,max,sgd,0.6990072578626846
fast_text,0.0001,128,128,avg,adam,0.7624092767164428
fast_text,0.0001,128,128,avg,sgd,0.4806874113623092
fast_text,0.0001,128,128,max,adam,0.7652456828230583
fast_text,0.0001,128,128,max,sgd,0.6689747226161675
fast_text,0.0001,256,64,avg,adam,0.8394927838491699
fast_text,0.0001,256,64,avg,sgd,0.5689496955034621
fast_text,0.0001,256,64,max,adam,0.8286477016768166
fast_text,0.0001,256,64,max,sgd,0.6884958705264036
fast_text,0.0001,256,128,avg,adam,0.8175523483774089
fast_text,0.0001,256,128,avg,sgd,0.5615249854008509
fast_text,0.0001,256,128,max,adam,0.7697505631100359
fast_text,0.0001,256,128,max,sgd,0.6696421122883124
lstm,0.001,128,64,avg,adam,0.9766413614749312
lstm,0.001,128,64,avg,sgd,0.6663051639275882
lstm,0.001,128,64,max,adam,0.9818136314340535
lstm,0.001,128,64,max,sgd,0.6663051639275882
lstm,0.001,128,128,avg,adam,0.973304413114207
lstm,0.001,128,128,avg,sgd,0.6663051639275882
lstm,0.001,128,128,max,adam,0.970801701843664
lstm,0.001,128,128,max,sgd,0.6663051639275882
lstm,0.001,256,64,avg,adam,0.9874864436472846
lstm,0.001,256,64,avg,sgd,0.6663051639275882
lstm,0.001,256,64,max,adam,0.9939100692416785
lstm,0.001,256,64,max,sgd,0.6663051639275882
lstm,0.001,256,128,avg,adam,0.9890714941186285
lstm,0.001,256,128,avg,sgd,0.6663051639275882
lstm,0.001,256,128,max,adam,0.9888212229915742
lstm,0.001,256,128,max,sgd,0.6663051639275882
lstm,0.0001,128,64,avg,adam,0.9204972053057479
lstm,0.0001,128,64,avg,sgd,0.6663051639275882
lstm,0.0001,128,64,max,adam,0.9263368649370151
lstm,0.0001,128,64,max,sgd,0.3336948360724118
lstm,0.0001,128,128,avg,adam,0.9045632768832902
lstm,0.0001,128,128,avg,sgd,0.337115208142154
lstm,0.0001,128,128,max,adam,0.9084841912071411
lstm,0.0001,128,128,max,sgd,0.6663051639275882
lstm,0.0001,256,64,avg,adam,0.9504463168432469
lstm,0.0001,256,64,avg,sgd,0.6663051639275882
lstm,0.0001,256,64,max,adam,0.9492783849169935
lstm,0.0001,256,64,max,sgd,0.6663051639275882
lstm,0.0001,256,128,avg,adam,0.938349879035622
lstm,0.0001,256,128,avg,sgd,0.3336948360724118
lstm,0.0001,256,128,max,adam,0.9413531325602736
lstm,0.0001,256,128,max,sgd,0.33636439476099106
gated_cnn,0.001,128,64,avg,adam,0.9640443814131976
gated_cnn,0.001,128,64,avg,sgd,0.6663051639275882
gated_cnn,0.001,128,64,max,adam,0.9980812546925837
gated_cnn,0.001,128,64,max,sgd,0.7629932426795696
gated_cnn,0.001,128,128,avg,adam,0.9456077417201969
gated_cnn,0.001,128,128,avg,sgd,0.6663051639275882
gated_cnn,0.001,128,128,max,adam,0.9983315258196379
gated_cnn,0.001,128,128,max,sgd,0.695336614665888
gated_cnn,0.001,256,64,avg,adam,0.9838992241595061
gated_cnn,0.001,256,64,avg,sgd,0.6663051639275882
gated_cnn,0.001,256,64,max,adam,0.9954951197130224
gated_cnn,0.001,256,64,max,sgd,0.8174689246683907
gated_cnn,0.001,256,128,avg,adam,0.9785601067823475
gated_cnn,0.001,256,128,avg,sgd,0.6663051639275882
gated_cnn,0.001,256,128,max,adam,0.9969133227663302
gated_cnn,0.001,256,128,max,sgd,0.7532326687244515
gated_cnn,0.0001,128,64,avg,adam,0.8886293484608325
gated_cnn,0.0001,128,64,avg,sgd,0.5538500041711855
gated_cnn,0.0001,128,64,max,adam,0.93359472762159
gated_cnn,0.0001,128,64,max,sgd,0.6665554350546425
gated_cnn,0.0001,128,128,avg,adam,0.8758655209810629
gated_cnn,0.0001,128,128,avg,sgd,0.6668057061816969
gated_cnn,0.0001,128,128,max,adam,0.9153249353466255
gated_cnn,0.0001,128,128,max,sgd,0.6663051639275882
gated_cnn,0.0001,256,64,avg,adam,0.9069825644448152
gated_cnn,0.0001,256,64,avg,sgd,0.6663051639275882
gated_cnn,0.0001,256,64,max,adam,0.9793943438725285
gated_cnn,0.0001,256,64,max,sgd,0.6674730958538416
gated_cnn,0.0001,256,128,avg,adam,0.893801618419955
gated_cnn,0.0001,256,128,avg,sgd,0.34620839242512724
gated_cnn,0.0001,256,128,max,adam,0.9506131642612831
gated_cnn,0.0001,256,128,max,sgd,0.6670559773087511
bert,0.001,128,64,avg,adam,0.9518645198965546
bert,0.001,128,64,avg,sgd,0.8084591640944356
bert,0.001,128,64,max,adam,0.9345123884207892
bert,0.001,128,64,max,sgd,0.8599315925586052
bert,0.001,128,128,avg,adam,0.9688829565362476
model_type,learning_rate,hidden_size,batch_size,pooling_style,optimizer,准确率
model_type,learning_rate,hidden_size,batch_size,pooling_style,optimizer,准确率
model_type,learning_rate,hidden_size,batch_size,pooling_style,optimizer,准确率
