model_type,acc,time,sample_len
fast_text,0.8723404255319149,0.13781332969665527,30.0
lstm,0.9148936170212766,0.19060349464416504,30.0
gru,0.925531914893617,0.20266389846801758,30.0
rnn,0.9148936170212766,0.20966029167175293,30.0
cnn,0.9574468085106383,0.16521191596984863,30.0
gated_cnn,0.9361702127659575,0.18055129051208496,30.0
stack_gated_cnn,0.9148936170212766,0.23397088050842285,30.0
rcnn,0.9042553191489362,0.19357776641845703,30.0
bert,0.851063829787234,0.743708610534668,30.0
bert_lstm,0.8936170212765957,1.2272799015045166,30.0
bert_cnn,0.8723404255319149,0.838465690612793,30.0
bert_mid_layer,0.8617021276595744,0.7447624206542969,30.0
